metric,hindu_mean,hindu_median,hindu_max,hindu_frac_pos,control_mean,control_median,control_max,control_frac_pos,physics_ref_mean,delta_hindu_minus_control,mannwhitney_hindu_gt_control_p,mannwhitney_control_gt_hindu_p
classical_em,0.17291666666666666,0.0,1.0,0.225,0.0850877192982456,0.0,1.0,0.09473684210526316,0.4777777777777777,0.08782894736842106,0.0030559322168566315,0.9969708658075261
quantum_mechanics,0.028125,0.0,1.0,0.05,0.02631578947368421,0.0,1.0,0.031578947368421054,0.4161616161616162,0.0018092105263157916,0.24307077462241483,0.7585592914219459
quantum_field_theory,0.17291666666666666,0.0,1.0,0.225,0.0850877192982456,0.0,1.0,0.09473684210526316,0.5404040404040403,0.08782894736842106,0.0030559322168566315,0.9969708658075261
newtonian,0.075,0.0,1.0,0.1,0.06754385964912281,0.0,1.0,0.07894736842105263,0.36515151515151517,0.007456140350877188,0.30208290149782147,0.6991459964473544
relativity,0.028125,0.0,1.0,0.05,0.021052631578947368,0.0,1.0,0.02631578947368421,0.1318181818181818,0.007072368421052633,0.16839344476973206,0.8329834242658967
thermodynamics,0.03229166666666666,0.0,1.0,0.0625,0.02631578947368421,0.0,1.0,0.031578947368421054,0.3095959595959596,0.005975877192982454,0.13055531403869564,0.8704990662987842
QS,-0.03958333333333333,0.0,0.0,0.0,-0.03684210526315789,0.0,1.0,0.005263157894736842,0.06818181818181822,-0.00274122807017544,0.6614722653734522,0.340212769493673
QEF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,1.0
